exchange_id,exchange_name,met_id,formula,flux,lb,ub,direction
r_2033,pyruvate exchange,s_1400,C3H3O3,0.0,0.0,1000.0,zero
r_2038,riboflavin exchange,s_1406,C17H19N4O6,0.0,0.0,0.0,zero
r_2043,S-adenosyl-L-methionine exchange,s_1418,C15H23N6O5S,0.0,0.0,1000.0,zero
r_2044,S-methyl-L-methionine exchange,s_1425,C6H14NO2S,0.0,0.0,1000.0,zero
r_2046,sn-glycero-3-phosphocholine exchange,s_1435,C8H20NO6P,0.0,0.0,1000.0,zero
r_2049,sodium exchange,s_1438,Na,0.0,-1000.0,1000.0,zero
r_2051,spermidine exchange,s_1440,C7H22N3,0.0,0.0,1000.0,zero
r_2052,spermine exchange,s_1443,C10H30N4,0.0,0.0,1000.0,zero
r_2056,succinate exchange,s_1459,C4H4O4,0.0,0.0,1000.0,zero
r_2058,sucrose exchange,s_1466,C12H22O11,0.0,0.0,1000.0,zero
r_2060,sulphate exchange,s_1468,O4S,0.0,-1000.0,0.0,zero
r_2061,sulphite exchange,s_1470,O3S,0.0,0.0,1000.0,zero
r_2062,taurine exchange,s_1472,C2H7NO3S,0.0,0.0,1000.0,zero
r_2066,thiamine(1+) diphosphate(1-) exchange,s_1476,C12H16N4O7P2S,0.0,0.0,1000.0,zero
r_2067,thiamine(1+) exchange,s_1490,C12H17N4OS,0.0,0.0,0.0,zero
r_2068,thiamine(1+) monophosphate exchange,s_1498,C12H16N4O4PS,0.0,0.0,1000.0,zero
r_2073,thymidine exchange,s_1494,C10H14N2O5,0.0,0.0,1000.0,zero
r_2083,tryptophol exchange,s_1530,C10H11NO,0.0,0.0,1000.0,zero
r_2090,uracil exchange,s_1551,C4H4N2O2,0.0,0.0,1000.0,zero
r_2092,uridine exchange,s_1557,C9H12N2O6,0.0,0.0,1000.0,zero
r_2102,xanthosine exchange,s_1564,C10H12N4O6,0.0,0.0,1000.0,zero
r_2104,xylitol exchange,s_1567,C5H12O5,0.0,0.0,1000.0,zero
r_2106,zymosterol exchange,s_1571,C27H44O,0.0,-1000.0,0.0,zero
r_2134,14-demethyllanosterol exchange,s_2766,C29H48O,0.0,-1000.0,0.0,zero
