t_h,mode,ester_rid,ester_label,alcohol_rid,alcohol_name,phi_pair,v_alcohol_baseline,v_alcohol_pairwise,v_ester_baseline,v_ester_pairwise,ratio_baseline,ratio_pairwise,lhs_margin,binding
22.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.00027022493758741933,0.0,2.1617995006994515e-05,,0.08000000000000358,0.0,True
22.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00021845574788583182,0.0015871712039552332,0.0,0.00012697369631641838,0.0,0.07999999999999982,0.0,True
22.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015717652255126748,0.005081980574349031,0.0,0.00040655844594792264,0.0,0.08000000000000003,0.0,True
23.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.00013648700500374213,0.0,1.091896040029921e-05,,0.07999999999999882,0.0,True
23.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00020339469131992383,0.001477746409626019,0.0,0.00011821971277008093,0.0,0.0799999999999996,0.0,True
23.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015890206319963594,0.004620662575302791,0.0,0.00036965300602422334,0.0,0.08000000000000002,0.0,True
24.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,1.504331248593193e-05,0.0,1.203464998875531e-06,,0.08000000000006492,0.0,True
24.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00018971816524207102,0.0013783808009344995,0.0,0.00011027046407475886,0.0,0.0799999999999992,0.0,True
24.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.020337823286802677,0.004201752546212744,0.0,0.0003361402036970194,0.0,0.07999999999999997,0.0,True
25.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
25.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0001772865583486418,0.0011927141951691275,0.0,9.541713561353018e-05,0.0,0.07999999999999999,0.0,True
25.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.020074876811598176,0.0038209742129060695,0.0,0.00030567793703248575,0.0,0.08000000000000004,0.0,True
26.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
26.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00016597635035575886,0.0010101094087473627,0.0,8.080875269978899e-05,0.0,0.07999999999999997,0.0,True
26.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.019832141518557788,0.0034745441668305728,0.0,0.0002779635333464459,0.0,0.08000000000000002,0.0,True
27.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
27.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00015567793496815485,0.00084384014619239,0.0,6.750721169539144e-05,0.0,0.0800000000000003,0.0,True
27.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01659628653667968,0.0031591051829095566,0.0,0.0002527284146327647,0.0,0.08000000000000006,0.0,True
28.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
