state_idx,fe,cp,value
7,7,1,0.00020572580483948664
7,7,2,-0.00012823795622146552
7,8,0,0.0001060502863868551
7,8,1,-0.0003917664701608768
7,8,2,-0.0006298438648943598
7,9,0,-0.0005087543766690347
7,9,1,-0.0008167274781556411
7,9,2,-0.000985616015707274
7,10,0,-0.0009170859117111096
7,10,1,-0.0011152601922909664
7,10,2,-0.001233983410725096
7,11,0,-0.0011917036136164624
7,11,1,-0.0013213946427378625
7,11,2,-0.0014036785173139601
7,12,0,-0.0013753685099782648
7,12,1,-0.0014600974661060377
7,12,2,-0.0015158899527916061
7,13,0,-0.0014954890535724557
7,13,1,-0.0015496756547216115
7,13,2,-0.003123864685611639
7,14,0,-0.0031144016357095195
7,14,1,-0.0030992848112570237
7,14,2,-0.00308832897026335
7,15,0,-0.003052518981731747
7,15,1,-0.0030380103670549414
7,15,2,-0.0030274953229769298
7,16,0,-0.0029918616043027343
7,16,1,-0.0029779491568480603
7,16,2,-0.002967866181906781
7,17,0,-0.002932405242946816
7,17,1,-0.0029190771586032754
7,17,2,-0.0029094176978298205
8,0,0,0.0012889298740302322
8,0,1,0.001873232786523515
8,0,2,0.002296703325692184
8,1,0,0.0027045087512277345
8,1,1,0.0034763293119769835
8,1,2,0.004035702305014574
8,2,0,0.004545971355665771
8,2,1,0.005534327256047111
8,2,2,0.006250633125958091
8,3,0,0.006600800366058197
8,3,1,0.007500185799379384
8,3,2,0.008152010779583206
8,4,0,0.00712772717599937
8,4,1,0.007511718699705838
8,4,2,0.007790014587169937
8,5,0,0.006823590629521297
8,5,1,0.00683570440317813
8,5,2,0.006844483798509119
8,6,0,0.006336272705385759
8,6,1,0.006181287603456668
8,6,2,0.006068962945691459
8,7,0,0.005815000839545348
8,7,1,0.0056021135025996465
8,7,2,0.005447824496964038
8,8,0,0.005301224543271236
8,8,1,0.005073037891216036
8,8,2,0.004907660785419013
8,9,0,0.0048115725718317
8,9,1,0.004586731241375143
8,9,2,0.0044237786402498945
8,10,0,0.004354910612847792
8,10,1,0.0041421376782824725
8,10,2,0.003987931585185321
8,11,0,0.003935469674412858
8,11,1,0.0037388160617649858
8,11,2,0.003596292364557814
8,12,0,0.0035545265309770177
8,12,1,0.0033754919773709615
8,12,2,0.0032457376028430917
8,13,0,0.003211542989290937
8,13,1,0.0030502418388241763
8,13,2,0.00293333965727383
8,14,0,0.0028923017758885738
8,14,1,0.00274933448087096
8,14,2,0.0026457196670302157
8,15,0,0.002509956647892433
8,15,1,0.002393794632057734
8,15,2,0.002309606806831041
8,16,0,0.0021773928555613963
8,16,1,0.002084546071560005
8,16,2,0.002017255841029796
8,17,0,0.0018881288689918576
8,17,1,0.0018155616736390745
8,17,2,0.001762968970975874
9,0,0,-0.07599269739282859
9,0,1,-0.06345757746974015
9,0,2,-0.0543728135932034
9,1,0,-0.055565860333636245
9,1,1,-0.04640018064587398
9,1,2,-0.03975740129935032
9,2,0,-0.040629757075954814
9,2,1,-0.03392781208826305
9,2,2,-0.029070611830084952
9,3,0,-0.02970847837393816
9,3,1,-0.02480801619893794
9,3,2,-0.021256431370158115
9,4,0,-0.021722839387023577
9,4,1,-0.018139621444663415
9,4,2,-0.01554270261785961
9,5,0,-0.01588374015979164
9,5,1,-0.013263691200337888
9,5,2,-0.011364824154178943
9,6,0,-0.011614190804839645
9,6,1,-0.009698411005687062
9,6,2,-0.008309959421535642
9,7,0,-0.008492296316498745
9,7,1,-0.007091478127358379
9,7,2,-0.0060762423290268595
9,8,0,-0.006209567066623881
9,8,1,-0.0051852888067244465
9,8,2,-0.00444294839098444
9,9,0,-0.004540435439115381
9,9,1,-0.0037914831754769143
9,9,2,-0.003248683863487821
9,10,0,-0.0033199663930811663
9,10,1,-0.0027723324979087188
9,10,2,-0.002375437640982295
9,11,0,-0.0024275594266209483
9,11,1,-0.0020271295224708547
9,11,2,-0.0017369200030862536
9,12,0,-0.001775031452745237
9,12,1,-0.001482237106830689
9,12,2,-0.0012700359062566683
9,13,0,-0.001297902998247317
9,13,1,-0.0010838117725145997
9,13,2,0.0
9,14,0,0.0
9,14,1,0.0
9,14,2,0.0
9,15,0,0.0
9,15,1,0.0
9,15,2,0.0
9,16,0,0.0
9,16,1,0.0
9,16,2,0.0
9,17,0,0.0
9,17,1,0.0
9,17,2,0.0
10,0,0,-0.07599269739282859
10,0,1,-0.06345757746974015
10,0,2,-0.0543728135932034
10,1,0,-0.055565860333636245
10,1,1,-0.04640018064587398
10,1,2,-0.03975740129935032
10,2,0,-0.040629757075954814
10,2,1,-0.03392781208826305
10,2,2,-0.029070611830084952
10,3,0,-0.02970847837393816
10,3,1,-0.02480801619893794
10,3,2,-0.021256431370158115
10,4,0,-0.021722839387023577
10,4,1,-0.018139621444663415
10,4,2,-0.01554270261785961
10,5,0,-0.01588374015979164
10,5,1,-0.013263691200337888
10,5,2,-0.011364824154178943
10,6,0,-0.011614190804839645
10,6,1,-0.009698411005687062
10,6,2,-0.008309959421535642
10,7,0,-0.008492296316498745
10,7,1,-0.007091478127358379
10,7,2,-0.0060762423290268595
10,8,0,-0.006209567066623881
10,8,1,-0.0051852888067244465
10,8,2,-0.00444294839098444
10,9,0,-0.004540435439115381
10,9,1,-0.0037914831754769143
10,9,2,-0.003248683863487821
10,10,0,-0.0033199663930811663
10,10,1,-0.0027723324979087188
10,10,2,-0.002375437640982295
10,11,0,-0.0024275594266209483
10,11,1,-0.0020271295224708547
10,11,2,-0.0017369200030862536
10,12,0,-0.001775031452745237
10,12,1,-0.001482237106830689
10,12,2,-0.0012700359062566683
10,13,0,-0.001297902998247317
10,13,1,-0.0010838117725145997
10,13,2,0.0
10,14,0,0.0
10,14,1,0.0
10,14,2,0.0
10,15,0,0.0
10,15,1,0.0
10,15,2,0.0
10,16,0,0.0
10,16,1,0.0
10,16,2,0.0
10,17,0,0.0
10,17,1,0.0
10,17,2,0.0
11,0,0,-0.07599269739282859
