t_h,mode,mu_h_inv,v_glu,v_fru,v_eth,v_N_gN_gDW_h,v_ATPM,GAM_mmol_gDW,P_gProt_gDW
37.0,ATPM,0.0,1.8799946086757613,0.9098948578206894,5.579778932992901,0.0,5.579778932992896,50.840766770154204,0.4007931338674893
38.0,ATPM,0.0,1.8645385331423527,0.9068943236917429,5.542865713668192,0.0,5.5428657136681885,50.80219846088767,0.39878916819815186
39.0,ATPM,0.0,1.8493902340536779,0.9039798621230065,5.506740192353365,0.0,5.506740192353366,50.763822993167466,0.39679522235716114
40.0,ATPM,0.0,1.8345386862715423,0.9011484529989116,5.471374278540906,0.0,5.471374278540906,50.725639402785866,0.39481124624537534
41.0,ATPM,0.0,1.8199733956184805,0.8983972229130218,5.436741237063002,0.0,5.436741237063003,50.68764673035618,0.39283719001414846
42.0,ATPM,0.0,1.8056843661344055,0.8957234360734257,5.402815604415662,0.0,5.402815604415662,50.64984402128864,0.3908730040640777
43.0,ATPM,0.0,1.7916620697639927,0.8931244858849164,5.369573111297817,0.0,5.369573111297817,50.61223032576642,0.3889186390437573
44.0,ATPM,0.0,1.777897418264132,0.8905978871491879,5.336990610826636,0.0,5.3369906108266365,50.57480469872183,0.3869740458485385
45.0,ATPM,0.0,1.7643817371415889,0.8881412688300782,5.3050460119433325,0.0,5.305046011943333,50.53756619981246,0.38503917561929585
46.0,ATPM,0.0,1.751106741449504,0.8857523673360622,5.273718217571129,0.0,5.273718217571129,50.50051389339764,0.3831139797411994
47.0,ATPM,0.0,1.7380645132878498,0.8834290202768027,5.242987067129303,0.0,5.242987067129303,50.46364684851488,0.38119840984249337
48.0,ATPM,0.0,1.7252474808676548,0.881169160654666,5.21283328304464,0.0,5.212833283044641,50.42696413885655,0.37929241779328093
49.0,ATPM,0.0,1.7126483990119812,0.8789708114557921,5.183238420935547,0.0,5.183238420935546,50.390464842746496,0.3773959557043145
50.0,ATPM,0.0,1.700260330978365,0.876832080608584,5.154184823173898,0.0,5.154184823173896,50.35414804311701,0.3755089759257929
51.0,ATPM,0.0,1.6880766314980056,0.8747511562804307,5.1256555755568725,0.0,5.125655575556872,50.31801282748565,0.373631431046164
52.0,ATPM,0.0,1.6760909309364358,0.8727263024861119,5.0976344668450935,0.0,5.0976344668450935,50.28205828793246,0.3717632738909331
53.0,ATPM,0.0,1.6642971204889105,0.8707558549837212,5.070105950945261,0.0,5.070105950945261,50.24628352107704,0.36990445752147844
54.0,ATPM,0.0,1.6526893383314214,0.8688382174360587,5.043055111534957,0.0,5.043055111534956,50.21068762805589,0.36805493523387106
55.0,ATPM,0.0,1.6412619566551212,0.866971857817391,5.016467628945023,0.0,5.016467628945022,50.17526971449985,0.3662146605577017
56.0,ATPM,0.0,1.630009569518176,0.8651553050471956,4.9903297491307415,0.0,4.99032974913074,50.14002889051159,0.36438358725491315
57.0,ATPM,0.0,1.618926981454695,0.8633871458340875,4.964628254577563,0.0,4.964628254577562,50.10496427064326,0.3625616693186386
58.0,ATPM,0.0,1.608009196785448,0.8616660217145344,4.939350436999965,0.0,4.939350436999963,50.070074973874284,0.3607488609720454
59.0,ATPM,0.0,1.59725140957972,0.859990626272257,4.914484071703953,0.0,4.914484071703952,50.03536012358915,0.35894511666718515
60.0,ATPM,0.0,1.5866489942217867,0.8583597025253711,4.890017393494316,0.0,4.890017393494313,50.000818847555436,0.3571503910838492
61.0,ATPM,0.0,1.5761974965393233,0.8567720404693923,4.86593907401743,0.0,4.8659390740174295,49.9664502779019,0.35536463912842997
62.0,ATPM,0.0,1.5658926254544694,0.8552264747651673,4.842238200439271,0.0,4.84223820043927,49.93225355109663,0.35358781593278776
63.0,ATPM,0.0,1.5557302451214323,0.8537218825616928,4.81890425536625,0.0,4.818904255366249,49.89822780792537,0.3518198768531238
64.0,ATPM,0.0,1.5457063675173353,0.8522571814445493,4.79592709792377,0.0,4.79592709792377,49.86437219346998,0.3500607774688582
65.0,ATPM,0.0,1.5358171454556344,0.8508313275014274,4.773296945914122,0.0,4.7732969459141215,49.83068585708687,0.3483104735815139
66.0,ATPM,0.0,1.526058865993799,0.8494433134968666,4.751004358981331,0.0,4.751004358981329,49.79716795238568,0.3465689212136064
67.0,ATPM,0.0,1.5164279442091013,0.8480921671489388,4.72904022271608,0.0,4.729040222716079,49.76381763720799,0.34483607660753834
68.0,ATPM,0.0,1.5069209173183564,0.8467769495011538,4.70739573363902,0.0,4.707395733639021,49.73063407360618,0.34311189622450067
69.0,ATPM,0.0,1.4975344391192582,0.8454967533833797,4.686062385005277,0.0,4.686062385005274,49.69761642782239,0.34139633674337816
70.0,ATPM,0.0,1.4882652747326142,0.8442507019560164,4.6650319533772615,0.0,4.66503195337726,49.664763870267514,0.33968935505966125
71.0,ATPM,0.0,1.479110295626311,0.8430379473320951,4.644296485916813,0.0,4.64429648591681,49.63207557550041,0.33799090828436296
