group,rid,name,note,status,old_lb,old_ub,new_lb,new_ub
Fuentes de nitrógeno (todos),r_1906,L-serine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1911,L-threonine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1914,L-valine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1899,L-leucine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1897,L-isoleucine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1903,L-phenylalanine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1913,L-tyrosine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1912,L-tryptophan exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1893,L-histidine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1900,L-lysine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1902,L-methionine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1883,L-cysteine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1987,ornithine exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (todos),r_1800,gamma-aminobutyrate exchange,Fuentes de N inhabilitadas antes de reabrir el subconjunto cinético.,updated,0.0,1000.0,0.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1654,ammonium exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1879,L-arginine exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1891,L-glutamine exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1889,L-glutamate exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1906,L-serine exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1911,L-threonine exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1873,L-alanine exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1912,L-tryptophan exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Fuentes de nitrógeno (medio vínico) - cinética,r_1899,L-leucine exchange,Fuentes de N habilitadas para ser limitadas por cinética.,updated,0.0,0.0,-1000.0,0.0
Vitaminas,r_2067,thiamine(1+) exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Vitaminas,r_1671,biotin exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Vitaminas,r_1967,nicotinate exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Vitaminas,r_2028,pyridoxine exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Vitaminas,r_1548,(R)-pantothenate exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Vitaminas,r_2038,riboflavin exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Vitaminas,r_1947,myo-inositol exchange,Vitaminas en traza; evita uso masivo como carbono.,updated,0.0,1000.0,-0.01,0.0
Fosfato abierto,r_2005,phosphate exchange,Captación de fosfato habilitada.,updated,-1000.0,1000.0,-1000.0,0.0
Sulfato abierto,r_2060,sulphate exchange,Captación de sulfato habilitada.,updated,-1000.0,1000.0,-1000.0,0.0
Iones esenciales,r_2020,potassium exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_1861,iron(2+) exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_4596,Zn(2+) exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_4597,Mg(2+) exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_4594,Cu2(+) exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_4600,Ca(2+) exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_4595,Mn(2+) exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Iones esenciales,r_4593,chloride exchange,Iones en traza.,updated,-1000.0,1000.0,-0.001,0.0
Productos abiertos,r_1761,ethanol exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1808,glycerol exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1634,acetate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_2056,succinate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1549,"(R,R)-2,3-butanediol exchange",Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1546,(R)-lactate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1552,(S)-malate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1765,ethyl acetate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1867,isobutyl acetate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1866,isobutanol exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1862,isoamyl acetate exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Productos abiertos,r_1865,isoamylol exchange,Secreción permitida; uptake artificial cerrado.,updated,0.0,1000.0,0.0,1000.0
Agua y protones,r_2100,water exchange,Intercambio reversible amplio.,updated,-1000.0,1000.0,-1000.0,1000.0
Agua y protones,r_1832,H+ exchange,Intercambio reversible amplio.,updated,-1000.0,1000.0,-1000.0,1000.0
Shuttles cerrados,r_0713,malate dehydrogenase,Cierre asimétrico,updated,-1000.0,1000.0,0.0,1000.0
Shuttles cerrados,r_0714,"malate dehydrogenase, cytoplasmic",Cierre asimétrico,updated,-1000.0,1000.0,0.0,1000.0
Shuttles cerrados,r_0487,glycerol dehydrogenase (NADP-dependent),Cierre asimétrico,updated,0.0,1000.0,0.0,0.0
ATPM,r_4046,non-growth associated maintenance reaction,Mantenimiento ATP fijo,updated,0.7,0.7,0.7,0.7
