t_h,X_gDW_L,N_gN_L,N_free_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac_gProt_gDW,C_frac_gCarb_gDW,GAM_mmol_gDW,AA_phe_mmol_L,AA_leu_mmol_L,AA_val_mmol_L,AA_met_mmol_L,AA_tyr_mmol_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L
30.0,1.965864454547413,0.006781041917514011,0.0,103.16869986996097,102.70093678089485,6.539523219663059,0.8,1.1986890429155193,0.6527083637388119,0.6097516235886593,0.3320210415468753,54.86238040293591,0.08192524095685975,0.08192524095685975,0.08192524095685975,0.14806852321792977,0.09027383183781433,0.08455554279676068,84.55554279676068,0.0,0.0,0.01496559584516763,14.96559584516763,0.0,0.0,0.10189003317496739,101.8900331749674
31.0,1.9750492426596093,0.006238558564112891,0.0,103.16602573442404,102.50675307269492,6.635846928114288,0.8,1.1701447170572825,0.6528431935216304,0.5924635658610521,0.33054527422440827,54.529654564735054,0.07537122168031098,0.07537122168031098,0.07537122168031098,0.13622304136049537,0.08305192529078918,0.08518365887893294,85.18365887893293,0.0,0.0,0.015012682550231827,15.012682550231826,0.0,0.0,0.10273913297654459,102.7391329765446
32.0,1.983761089511119,0.005739473878983859,0.0,103.1634892949359,102.31594473057207,6.730673849968122,0.8,1.1419089483634817,0.6528023608890808,0.5756282620932419,0.3290730745454627,54.20564242608019,0.0693415239458861,0.0693415239458861,0.0693415239458861,0.12532519805165573,0.07640777126752604,0.08575660548817778,85.75660548817777,0.0,0.0,0.01504349585070298,15.04349585070298,0.0,0.0,0.10351606622863956,103.51606622863956
33.0,1.9920382422952416,0.0052803159686651505,0.0,103.16107941589085,102.1283856966806,6.824183531898137,0.8,1.1140267782355788,0.6526008956147608,0.5592396544315277,0.32760460203958186,53.890227397561326,0.06379420203021521,0.06379420203021521,0.06379420203021521,0.11529918220752328,0.07029514956612395,0.08627878844258854,86.27878844258855,0.0,0.0,0.01505931794554275,15.05931794554275,0.0,0.0,0.10422659958769971,104.22659958769971
34.0,1.9999158890777433,0.004857890691171938,0.0,103.15878585234303,101.94380406021789,6.916498317659519,0.8,1.0865372052997861,0.6522526204462126,0.543291451022393,0.3261400261923002,53.58328838620967,0.058690665867797996,0.058690665867797996,0.058690665867797996,0.10607524763092141,0.06467153760083404,0.08675426108263605,86.75426108263605,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.1048760383671683,104.8760383671683
35.0,2.007426403528079,0.004469259435878183,0.0,103.15659917875328,101.76187036020386,7.007716285589549,0.8,1.0594737542117836,0.6517702476906057,0.527777134120456,0.3246795232667612,53.28469995154314,0.053995412598374155,0.053995412598374155,0.053995412598374155,0.0975892278204477,0.05949781459276731,0.08718675246935924,87.18675246935923,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10546926344490822,105.46926344490822
36.0,2.0145995700721206,0.004111718681007928,0.0,103.15451072343635,101.5823411915151,7.097933792962558,0.8,1.0328649959686715,0.6511654680734479,0.5126899714029504,0.32322327362064157,52.99433252332484,0.049675779590504225,0.049675779590504225,0.049675779590504225,0.08978208959481188,0.054737989425345926,0.08757969332670049,87.5796933267005,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10601076521803189,106.01076521803189
37.0,2.0214627910326595,0.0037827811865272947,0.0,103.15251250825226,101.40500507360854,7.187240785261316,0.8,1.0067350237121546,0.65044903248848,0.4980230297476148,0.32177145944704705,52.71205266673218,0.04570171722326389,0.04570171722326389,0.04570171722326389,0.08259952242722693,0.05035895027131825,0.08793623990845424,87.93623990845424,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10650467484134485,106.50467484134485
38.0,2.028041277198684,0.0034801586916051105,0.0,103.1505971931224,101.22966742355628,7.275720022436617,0.8,0.9811038876846249,0.6496308272074666,0.4837691908518821,0.320324262879302,52.43772338296369,0.042045579845402775,0.042045579845402775,0.042045579845402775,0.07599156063304877,0.046330234249612794,0.0882592959558595,88.2592959558595,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.1069547929667136,106.95479296671361
39.0,2.0343582231491055,0.003201745996276702,0.0,103.14875802498432,101.05614919083011,7.363447661600824,0.8,0.9559879927032787,0.6487199430730852,0.4699211681723622,0.3188818644087631,52.17120443525623,0.03868193345777055,0.03868193345777055,0.03868193345777055,0.06991223578240487,0.04262381550964377,0.08855153289858503,88.55153289858502,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10736461618328423,107.36461618328423
40.0,2.040434968550594,0.002945606316574566,0.0,103.14698879083014,100.88428561878366,7.450493782928325,0.8,0.9314004612448366,0.6477247391562704,0.4564715247486908,0.3174444415723655,51.91235269192258,0.035587378781148905,0.035587378781148905,0.035587378781148905,0.06431925691981248,0.03921391026887226,0.08881540843963563,88.81540843963563,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10773736134248334,107.73736134248334
