t_h,mode,objective_id,objective_value_baseline,objective_value_pairwise,delta_objective,mu_h_inv_baseline,mu_h_inv_pairwise,delta_mu,n_constraints_active,n_constraints_binding,N_gN_L,E_g_L,O2_g_L,X_gDW_L,ester_r_1765_baseline,ester_r_1765_pairwise,ester_r_1765_delta,ester_r_1867_baseline,ester_r_1867_pairwise,ester_r_1867_delta,ester_r_1862_baseline,ester_r_1862_pairwise,ester_r_1862_delta,ester_r_2000_baseline,ester_r_2000_pairwise,ester_r_2000_delta,ester_r_4647_baseline,ester_r_4647_pairwise,ester_r_4647_delta,ester_r_4739_baseline,ester_r_4739_pairwise,ester_r_4739_delta,alcohol_r_1866_baseline,alcohol_r_1866_pairwise,alcohol_r_1866_delta,alcohol_r_1865_baseline,alcohol_r_1865_pairwise,alcohol_r_1865_delta,alcohol_r_1589_baseline,alcohol_r_1589_pairwise,alcohol_r_1589_delta,binding_r_1867__r_1866,lhs_r_1867__r_1866,binding_r_1862__r_1865,lhs_r_1862__r_1865,binding_r_2000__r_1589,lhs_r_2000__r_1589
10.0,BIOMASS,r_2111,0.08611808047909258,0.0861180804790921,-4.85722573273506e-16,0.08611808047909258,0.0861180804790921,-4.85722573273506e-16,3,3,0.0658727953455326,2.88914029772681,0.0,1.296405028002708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010034597380051062,0.0010034597380051062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013546706463068832,0.012543246725063826,-0.001003459738005006,True,0.0,True,0.0,True,0.0
11.0,BIOMASS,r_2111,0.07734809878928695,0.0773480987892889,1.9567680809018384e-15,0.07734809878928695,0.0773480987892889,1.9567680809018384e-15,3,3,0.055997312578535866,3.3270761464131784,0.0,1.4079372966252106,0.0,0.0,0.0,0.0,2.7996093149688875e-06,2.7996093149688875e-06,0.0,0.0,0.0,0.0,0.00319402823443124,0.00319402823443124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4995116437114975e-05,3.4995116437114975e-05,0.0,0.0,0.0,0.0397231849291416,0.03992535293039124,0.00020216800124964185,True,0.0,True,0.0,True,0.0
12.0,BIOMASS,r_2111,0.06699428077904748,0.06699428077904798,4.996003610813204e-16,0.06699428077904748,0.06699428077904798,4.996003610813204e-16,3,3,0.04638104984482068,3.75239997439767,0.0,1.5167296684605922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006724933336882862,0.0006724933336882862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03433848409557294,0.008406166671103579,-0.025932317424469362,True,0.0,True,0.0,True,0.0
13.0,BIOMASS,r_2111,0.05381262084992465,0.05381262084992515,4.996003610813204e-16,0.05381262084992465,0.05381262084992515,4.996003610813204e-16,3,3,0.037436734508927275,4.155619625733597,0.0,1.6182402695220792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006249532457690872,0.0006249532457690872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026864480322307076,0.007811915572113587,-0.019052564750193488,True,0.0,True,0.0,True,0.0
14.0,BIOMASS,r_2111,0.03721603801778905,0.03721603801778894,-1.1102230246251565e-16,0.03721603801778905,0.03721603801778894,-1.1102230246251565e-16,3,3,0.02982101824483631,4.511815623516122,0.0,1.7052349378398846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006568891056064702,0.0006568891056064702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019985943132561464,0.008211113820080869,-0.011774829312480596,True,0.0,True,0.0,True,0.0
15.0,BIOMASS,r_2111,0.02086152130804995,0.02086152130804849,-1.4606371667724716e-15,0.02086152130804995,0.02086152130804849,-1.4606371667724716e-15,3,3,0.02435719712540861,4.7895578947044255,0.0,1.7686335640275206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007211006730780778,0.0007211006730780778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038528750466506535,0.009013758413475972,-0.029514992053030563,True,0.0,True,0.0,True,0.0
16.0,BIOMASS,r_2111,0.012739568879781511,0.012739568879781043,-4.683753385137379e-16,0.012739568879781511,0.012739568879781043,-4.683753385137379e-16,3,3,0.021309640040282435,4.978624308468819,0.0,1.8054930544228265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009426855570964425,0.0009426855570964425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009705491106516403,0.011783569463705507,0.0020780783571891035,True,0.0,True,0.0,True,0.0
17.0,BIOMASS,r_2111,0.011175264144128425,0.011175264144128479,5.377642775528102e-17,0.011175264144128425,0.011175264144128479,5.377642775528102e-17,3,3,0.019519274864233348,5.121366986397811,0.0,1.828471256348483,0.0,0.0,0.0,0.0,0.000257161980606089,0.000257161980606089,0.0,2.3771744874537705e-05,2.3771744874537705e-05,0.0,0.0006576321329482546,0.0006576321329482546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032145247575761124,0.0032145247575761124,0.0003209185558062573,0.0002971468109317212,-2.377174487453609e-05,0.011873907324744033,0.008220401661853184,-0.0036535056628908495,True,0.0,True,0.0,True,0.0
18.0,BIOMASS,r_2111,0.010309694639637173,0.010309694639638036,8.638922910364499e-16,0.010309694639637173,0.010309694639638036,8.638922910364499e-16,3,3,0.017957732875094678,5.255617043909848,0.0,1.848884475826054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002488288838809899,0.0002488288838809899,0.0,0.0005967241908698482,0.0005967241908698482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002960621128847518,0.003110361048512375,0.002814298935627623,0.013218910747987084,0.0074590523858731,-0.005759858362113984,True,0.0,True,0.0,True,0.0
19.0,BIOMASS,r_2111,0.009528964991198716,0.009528964991198855,1.3877787807814457e-16,0.009528964991198716,0.009528964991198855,1.3877787807814457e-16,3,3,0.016521114245087103,5.385345030590177,0.0,1.867926848761418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002198708376867898,0.0002198708376867898,0.0,0.0005417862153989373,0.0005417862153989373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027364200468680443,0.0027483854710848715,0.002474743466398067,0.01018653067511709,0.006772327692486715,-0.0034142029826303745,True,0.0,True,0.0,True,0.0
