t_h,Biomass X,Glucose,Fructose,Ethanol,YAN/N,O2
55.0,2.120726371693124,101.68182663002867,97.94803890229196,9.674807390484714,0.0009553031055764927,0.0
56.0,2.120726371693124,100.8932582534637,97.60569215005489,10.253208997801812,0.0009553031055764927,0.0
57.0,2.120726371693124,100.11214623925633,97.26488768415192,10.827008285515612,0.0009553031055764927,0.0
58.0,2.120726371693124,99.3383091679401,96.92557713817246,11.39632277661014,0.0009553031055764927,0.0
59.0,2.120726371693124,98.5715732466763,96.58771416350014,11.961265061471888,0.0009553031055764927,0.0
60.0,2.120726371693124,97.81177187239243,96.25125431293894,12.521943080839677,0.0009553031055764927,0.0
61.0,2.120726371693124,97.0587452267076,95.91615493283975,13.07846038814967,0.0009553031055764927,0.0
62.0,2.120726371693124,96.3123398998626,95.5823750629817,13.630916393079948,0.0009553031055764927,0.0
63.0,2.120726371693124,95.57240854115574,95.24987534353878,14.179406587915093,0.0009553031055764927,0.0
64.0,2.120726371693124,94.83880953363659,94.91861792852922,14.724022758188603,0.0009553031055764927,0.0
65.0,2.120726371693124,94.11140669103126,94.58856640520524,15.264853178916894,0.0009553031055764927,0.0
66.0,2.120726371693124,93.39006897507062,94.2596857188932,15.801982797610723,0.0009553031055764927,0.0
67.0,2.120726371693124,92.67467023156789,93.93194210284135,16.33549340513619,0.0009553031055764927,0.0
68.0,2.120726371693124,91.96508894374823,93.60530301267465,16.86546379539609,0.0009553031055764927,0.0
69.0,2.120726371693124,91.26120800147245,93.27973706509285,17.391969914712003,0.0009553031055764927,0.0
70.0,2.120726371693124,90.56291448512164,92.95521398048194,17.915085001706675,0.0009553031055764927,0.0
71.0,2.120726371693124,89.87009946302099,92.63170452913909,18.434879718413775,0.0009553031055764927,0.0
72.0,2.120726371693124,89.18265780138144,92.30918048083733,18.951422273277295,0.0009553031055764927,0.0
