t_h,X_gDW_L,Next_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,mu_h-1,v_ATPM,v_Prot,v_r_2111,v_r_4046,v_r_4047,v_r_1761,v_r_1808,v_r_1590,v_r_1863,v_r_1868,v_r_1106,v_r_2057
1.000000000000000000e+01,1.066204822588319834e+00,8.831649524223415815e-02,1.067025937436632574e+02,1.080501794339106709e+02,2.355138619257385990e+00,0.000000000000000000e+00,1.134477345765519285e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.100000000000000000e+01,1.150079087170237546e+00,8.066040370144286764e-02,1.062141353029283835e+02,1.077613444407718930e+02,2.704015053717415462e+00,0.000000000000000000e+00,1.296251840330991500e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.200000000000000000e+01,1.240551420068972233e+00,7.240203665602872041e-02,1.056872517006977859e+02,1.074497879009642247e+02,3.080336265907169135e+00,0.000000000000000000e+00,1.475732840397295131e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.300000000000000000e+01,1.338140866139705620e+00,6.349401539042436038e-02,1.051189201761532672e+02,1.071137223971203412e+02,3.486261231756906831e+00,0.000000000000000000e+00,1.674655228981447364e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.400000000000000000e+01,1.443407301515616803e+00,5.388523408631365474e-02,1.045058801794184262e+02,1.067512199025697015e+02,3.924118765594317715e+00,0.000000000000000000e+00,1.894913848174645921e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.500000000000000000e+01,1.556954645648703561e+00,4.352056662568164203e-02,1.038446146656008295e+02,1.063602007201412789e+02,4.396420880683116650e+00,0.000000000000000000e+00,2.138577694962283893e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.600000000000000000e+01,1.679434326029597635e+00,3.234055032917936695e-02,1.031313299173080225e+02,1.059384215508240459e+02,4.905877200784223291e+00,0.000000000000000000e+00,2.407905344495745670e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.700000000000000000e+01,1.811549015463665313e+00,2.028104481539275833e-02,1.023619337798776883e+02,1.054834626238345692e+02,5.455410505419462375e+00,0.000000000000000000e+00,2.705361704977705894e+00,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
1.800000000000000000e+01,1.954056663344357458e+00,7.272864023872029765e-03,1.015320121844565762e+02,1.049927138142561205e+02,6.048173498021840899e+00,0.000000000000000000e+00,3.033636217038710114e+00,5.342339404759036819e-02,6.999999999999999556e-01,5.342339404759037513e-02,5.342339404759036819e-02,6.999999999999999556e-01,5.342339404759037513e-02,5.017627339026418554e+00,9.485147661786008655e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.731172824673435966e-03
1.900000000000000000e+01,2.058449002461522515e+00,0.000000000000000000e+00,1.010640824681916854e+02,1.044633596686054631e+02,6.499877323247517324e+00,0.000000000000000000e+00,3.269759337005388566e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.696941113238742194e+00,4.288925038554408653e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.543492260553407801e-20
