eval,J,dt_s
116,1424085510864424.8,8.82026982307434
117,10558657818.01437,8.222530603408813
118,145395222390.58847,10.11586332321167
119,17988286450.809853,64.48096632957458
120,13674685849.558859,9.396690845489502
121,6561171223.936901,9.157083749771118
122,10563151673.19348,8.164481401443481
123,15747168969.145475,8.542700052261353
124,14546939257.138554,7.391319274902344
125,8780085229.293488,8.242957592010498
126,4946960547.740672,9.284514665603638
127,4849754509.81556,9.205612659454346
128,44621907856.519066,9.217633724212646
129,4281358776.66632,10.210369110107422
130,11518585935.419258,8.474535942077637
131,174491481165.25113,8.550376653671265
132,11957781872.324472,9.2909996509552
133,129234428817.23288,8.272215127944946
134,19391270940.957695,11.405890941619873
135,5869106355.494297,10.406625986099243
136,5720289850.697862,9.32717227935791
137,8469576946.325826,9.43860936164856
138,72419013463.13924,8.897956132888794
139,699564609016.2744,11.3020498752594
140,3600198953.9343534,9.073960304260254
141,74918244098.24449,9.605071783065796
142,8855907916.93145,9.315734386444092
143,37748752457.47993,8.621341943740845
144,10612728399.03292,8.684838056564331
145,8089399061.480425,7.747384548187256
146,7699605056704.799,8.749758005142212
147,1806618863407536.0,9.750740051269531
148,11515276834.249758,9.23949384689331
149,6257063705.168392,9.055542469024658
150,18793682844.09587,8.92540717124939
151,11283358817.764017,8.31663703918457
152,6676770314.189764,121.77990508079529
153,7556656383.212728,9.142832040786743
154,11134542611.848698,9.634949445724487
155,7488880360.23295,9.388620853424072
156,5594425084.940932,8.88888669013977
157,7630774993.872529,9.023823499679565
158,8600863721.956768,7.945212125778198
159,4397448826.363385,9.840331554412842
160,10414064206.713963,10.308613538742065
161,143556682359.80795,8.46300196647644
162,8537903172.844355,8.529436588287354
163,21170750228.967133,8.883414268493652
164,7019460276.843953,8.546284198760986
165,7389447913.026707,9.678170680999756
166,3683120276.0101137,10.356506824493408
167,9278035211.673697,8.92534589767456
168,58055367360.206,9.232880592346191
169,641114378240.7345,8.805328607559204
170,8828048597.221498,8.775040864944458
171,6502317020.411765,7.6134796142578125
172,8056781508.4992485,7.95003080368042
173,26681449153.003845,9.306201934814453
174,6688222609.792214,9.288551568984985
175,16030976236.966072,8.371276617050171
176,30010489360.162952,9.020758390426636
177,5907862881.130301,7.416600465774536
178,6684780059.50982,7.401496171951294
179,16917855220.522743,8.335822820663452
180,12619522840.663359,8.781850576400757
181,6173277379.76085,8.53330111503601
182,7421677891.452537,7.84627103805542
183,6062874820.849354,7.36040186882019
184,7009039320.242491,8.726076602935791
185,5440604657.565175,7.207489728927612
186,6179462917.137075,8.299338817596436
187,7240790046.653348,8.52427053451538
188,7171779670.797515,8.122994184494019
189,9697757547.671545,153.40947842597961
190,7494322939.970393,8.897170543670654
191,164193507983.8832,7.634498357772827
192,12556696705.207531,9.330574989318848
193,11090982815.231173,8.870773792266846
194,637923946116.5497,8.617268562316895
195,4664313786.917043,9.817360401153564
196,4319321936082.677,8.553601026535034
197,2187423669275.9622,8.971149444580078
198,29913744033.19347,9.14473557472229
199,36526277093.7692,9.654594659805298
200,5300875811.668073,8.478525400161743
201,7066917706.832284,7.7542736530303955
202,3052826400.2367883,10.145919799804688
203,15272910000.189175,8.900594711303711
204,7347127338.792892,7.719207286834717
205,3059957080.902856,8.114080429077148
206,11294812727.809797,7.31315541267395
207,6544106738.298353,7.301027536392212
208,6486582908.588402,7.506252765655518
209,6381701891.013735,7.958867311477661
210,11334783522.168985,8.167773485183716
211,6581767062.850466,7.563547611236572
212,6040582267.639175,8.115395545959473
213,6637384157.333106,7.414947748184204
214,35340077421.9857,8.45273232460022
215,7368376046.529202,8.313102722167969
216,5298924876.958696,8.417094230651855
217,7273233553.981205,8.562570810317993
218,10408989647.611586,7.495141506195068
219,9084730979.219944,8.874064683914185
220,6397617557.068144,8.388681888580322
221,14231901862.129105,8.876191854476929
222,6394213006.315013,8.318378686904907
223,10457467621.037241,9.755648136138916
224,8633380948.175869,8.089956045150757
225,7269889500.879863,9.138309478759766
226,11381156626.40947,8.124835968017578
227,10230409638.552273,8.21994924545288
228,10772117215.23255,8.630515336990356
229,6096190123.057905,7.295452356338501
230,3959398008.3891096,8.950857877731323
231,4143601059.344385,7.66723895072937
232,3052826400.2367883,9.271131038665771
233,6544007263.83457,310.91175603866577
234,3682914678.469019,9.271347522735596
235,2815091961.14658,8.756119966506958
236,7781288193.866753,7.443932771682739
237,5681561350.359013,9.942698001861572
238,6138268628.693534,8.87252950668335
239,10252515872.635239,8.925176858901978
240,15497430471.104557,8.499788522720337
241,3591529053.246941,7.225559949874878
242,4703835413.538446,7.88718581199646
243,4761309138.911437,8.478155851364136
244,10578042069.215899,7.4581825733184814
245,6087375139.192311,7.2863099575042725
246,4246099587.3990126,7.542781829833984
247,3337709338.438357,7.258849859237671
248,7935638049.005713,8.719893455505371
249,7065720720.194215,9.787676334381104
250,8904733794.1927,8.246489524841309
251,4375046800.635853,7.204454660415649
252,5130588565.085766,8.240024328231812
253,4872225977.216815,8.296630859375
254,4276064382.9012947,7.84785008430481
255,4500118959.536986,8.534098148345947
256,6847081032.129404,8.38378357887268
257,8847236109.553387,9.148946762084961
258,4245007459.0395284,7.689538240432739
259,4193121822.108171,7.637819766998291
260,4354350632.440515,7.856090784072876
261,2896919448.162086,9.442661046981812
262,5393176337.07272,9.133386135101318
263,4532550631.692895,8.01008653640747
264,3223287666.585192,8.785422325134277
265,3885385096.343313,7.852278709411621
266,7117597019.085766,7.480180978775024
267,5385073661.608276,8.367071628570557
268,4421247020.511099,7.833245754241943
269,4378560546.066146,8.312146425247192
270,7128061488.693801,8.131345510482788
271,4031752948.2216573,7.479997396469116
272,3941787211.7679977,7.709908723831177
273,3241496089.255424,7.499021768569946
274,3529537387.9809923,8.056923866271973
275,5486316019.23551,7.923705816268921
276,3618416927.9240723,7.804250717163086
277,2974957508.392899,8.877724647521973
278,4020618677.9129543,8.734415054321289
279,4288579754.26833,7.94184422492981
280,3923350320.405591,8.861022472381592
281,3487432569.4511623,7.483172416687012
282,3157225698.3277783,7.545023441314697
283,2956944334.0041795,7.166663408279419
284,2941195027.7466965,7.255749464035034
285,3430619231.254654,7.274409532546997
286,4932330076.195281,366.7974519729614
287,7505114196.815427,9.36752986907959
288,3489316961.380865,7.573884725570679
289,2336790321180.657,8.379570245742798
290,2944365892.199769,8.092743873596191
291,4041857466.0308776,7.385634660720825
292,4373827558.718539,7.700551509857178
293,31577583711.284576,7.4526238441467285
294,3214293969.1865892,9.20956301689148
295,20529083822.35928,8.744876146316528
296,3439165706.0650926,8.093436002731323
297,3656835215.07966,8.225856304168701
298,3588492387.0125065,7.507995843887329
299,3491390114.8428245,7.322377920150757
300,5318871281.537559,7.328993082046509
301,5567816537.315063,7.845183610916138
302,2866691121.861927,8.095118284225464
303,3439533709.291571,8.345391988754272
304,3134062982.7209077,7.7807817459106445
305,6136266785.050955,7.127926826477051
306,3237615714.986973,7.915461540222168
307,3012842871.3331833,7.122804880142212
308,3305926786.559568,7.329508543014526
309,7565339693.238559,8.256865501403809
310,7234966672.871429,8.20525598526001
311,2906398703.2349315,7.264434337615967
312,162620143164.69653,7.562795162200928
313,3310309809.689677,7.513244152069092
314,2681776548.322824,7.874532222747803
315,85774088028.16531,8.393521785736084
316,3011957120.4845724,8.398516178131104
317,7045162256.181473,8.577110290527344
318,3047116513.2756066,7.88685417175293
319,6814087471243.654,7.577338218688965
320,2928128173.7146626,7.524890661239624
321,3209933565923.9575,8.1156485080719
322,9127712107.937735,8.840346336364746
323,3354439911.6453204,7.827039003372192
324,3478422022.2064652,8.618050813674927
325,2815091961.14658,8.242103815078735
326,2862158096.0850306,7.740140914916992
327,2886764152.14332,7.845554351806641
328,3093907695.764414,7.172519683837891
329,33335781072.27349,7.591347694396973
330,4294825383.377822,8.331339836120605
331,2237420136.4100327,6.256188631057739
332,3390823357.885346,8.18003249168396
333,3279001866.190349,9.217727661132812
334,3009203669.5783324,8.262023210525513
335,3177562408.598974,9.393288850784302
336,2641183192.337276,9.860698699951172
337,2756803990.753114,8.892883777618408
338,3056475440.6169753,8.489180326461792
339,8481183899.78015,10.333107471466064
340,3288892764.5627475,8.760046005249023
341,812032739102.0162,8.696518898010254
342,3340302083.3861423,8.152882099151611
343,2866838533.913754,7.997027635574341
344,2681776548.322824,7.727055311203003
345,3737920002.2133636,13.541393280029297
346,2696489077.561683,10.32595419883728
347,5442681062.555098,14.022838592529297
348,2927016241.292652,8.000433683395386
349,3977945338.1444592,9.265599012374878
350,2889386852.50047,614.3883376121521
351,4434682582.292057,9.286341905593872
352,8549621697.3733225,9.231829166412354
353,3177336726.4613485,7.792735815048218
354,3834192530.287895,7.829904317855835
355,2871997159.3250785,7.86823844909668
356,2523582750.682477,7.7389326095581055
357,3173091631.093185,8.006056308746338
358,8899615150.844484,8.342259168624878
359,3330146835.6321745,8.440785884857178
360,3301800412.931475,7.722930669784546
361,11219182237.671144,6.309619665145874
362,2391213161.408444,6.177826404571533
363,178822369200.299,6.282757520675659
364,2082908630.7533793,5.686944007873535
365,2503151868.6351132,7.220012664794922
366,2338209585.9256945,6.666132211685181
367,40736716485.12253,6.431953430175781
368,10999670755.032988,9.55069899559021
369,486461718150.8837,11.144813537597656
370,2681419467.7943387,6.556359529495239
371,1928428868.1210308,6.205288887023926
372,2193960012.6542788,7.17764139175415
373,1761172253.808013,6.6111836433410645
374,2033873224.3687994,6.562672853469849
375,2963102558.983175,7.991504430770874
376,2399494692.215877,8.565861225128174
377,4193523925.245735,6.42399001121521
378,112105572724.6285,6.269602298736572
379,2567310606.67954,9.601042032241821
380,2043354340.9487753,8.709725141525269
381,4783832462.089229,9.09709119796753
382,3862977374.388568,7.226747035980225
383,2407116699.852027,8.426245212554932
384,3122382909.73795,7.659969806671143
385,2427779657.5002236,7.151771783828735
386,2453005461.4653993,6.448284149169922
387,2152383152.9470696,6.740327596664429
388,2031924877.5386367,5.955728054046631
389,2760702986.4041705,7.576438903808594
390,2733021696.0598598,7.550786018371582
391,2958160108.6413665,5.731536865234375
392,1815697167.6615095,5.83796501159668
393,1247412511757.992,7.616565704345703
394,1629963588.3365645,5.675635099411011
395,1880251332.1797264,5.719358444213867
396,1773281564.272738,5.607670783996582
397,2088640898.6965227,6.105092525482178
398,2305272155.0852714,7.361363887786865
399,5987636832.478235,8.796907424926758
400,1749384063.9068918,9.960001468658447
401,1743442831.3508496,9.074376821517944
402,1502454971.028956,6.99727988243103
403,1761172253.808013,11.705383777618408
404,1596086897.925081,9.179183959960938
405,2234742506.5717072,7.979631423950195
406,2194527083.925221,7.325308799743652
407,1992035436.0221462,6.803255081176758
408,2874769280.4047008,9.962768316268921
409,2192813925.828314,12.33751630783081
410,1825427113.5157812,8.444406986236572
411,3204218350.2459393,12.474770545959473
412,4905503224.7358675,10.717081785202026
413,17136473761.465366,11.09848427772522
414,1879254530.1936886,6.400945425033569
415,1945738939.3217103,5.981881618499756
416,2121165060.940038,6.565194606781006
417,1802807565.4702415,7.707376480102539
418,1827728001.796986,6.5869364738464355
419,2258410527.8330235,6.410369634628296
420,2109021439.883944,7.01500391960144
421,2665476853.7753067,7.891885757446289
422,24066878360.923332,6.794139623641968
423,2814746845.8167224,7.905081272125244
424,1344920472.6553993,6.799352169036865
425,1402992409.3706417,6.5396177768707275
426,1271608955.220879,6.408341407775879
427,2039136982.5297227,5.849534034729004
428,1966407152.7060575,6.07747483253479
429,4443672105.786413,7.5295329093933105
430,29443186506.608128,6.899887561798096
431,1491541656.3080254,6.618639230728149
432,1493135388.2118688,5.931812763214111
433,1394285017.3257508,6.322302341461182
434,1428653058.2529063,5.875116586685181
435,1412519475.9770763,5.948234796524048
436,1474283311.5106332,6.172933340072632
437,1485441384.4183357,7.113506555557251
438,1901516049.8050387,6.342534780502319
439,1948678203.8057044,7.309446811676025
440,6656117695.708083,6.480453014373779
441,4675926248.8631935,8.62010669708252
442,5881751781.773906,9.757439613342285
443,2085321808.2861905,7.220445156097412
444,1221937114.1139655,6.550112009048462
445,1651320709.4507878,6.183175802230835
446,1402765228.14605,5.784494638442993
447,1615486252.6434782,6.332861661911011
448,1318414825.1963496,770.0907435417175
449,1361510861.1369596,8.625636339187622
450,1212733695.3205974,8.656222343444824
