t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_constrained_mg_L,ethyl_acetate_exchange_delta_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_constrained_mg_L,isobutyl_acetate_exchange_delta_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_constrained_mg_L,isoamyl_acetate_exchange_delta_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_constrained_mg_L,phenethyl_acetate_exchange_delta_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_constrained_mg_L,hexyl_acetate_exchange_delta_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_constrained_mg_L,benzyl_acetate_exchange_delta_mg_L,total_acetate_esters_baseline_mg_L,total_acetate_esters_constrained_mg_L,total_acetate_esters_delta_mg_L
37.0,0.0,387.8901112274829,387.8901112274829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.8901112274829,387.8901112274829
38.0,0.0,400.9025783918305,400.9025783918305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.9025783918305,400.9025783918305
39.0,0.0,414.58113033989645,414.58113033989645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.58113033989645,414.58113033989645
40.0,0.0,427.13784394519683,427.13784394519683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.13784394519683,427.13784394519683
41.0,0.0,440.25430218391557,440.25430218391557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.25430218391557,440.25430218391557
42.0,0.0,453.50124440932495,453.50124440932495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.50124440932495,453.50124440932495
43.0,0.0,464.8981191715746,464.8981191715746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.8981191715746,464.8981191715746
44.0,0.0,477.93444032526565,477.93444032526565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.93444032526565,477.93444032526565
45.0,0.0,490.530057369141,490.530057369141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.530057369141,490.530057369141
46.0,0.0,503.07745658989853,503.07745658989853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.07745658989853,503.07745658989853
47.0,0.0,516.0801909770939,516.0801909770939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0801909770939,516.0801909770939
48.0,0.0,528.2451448493646,528.2451448493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.2451448493646,528.2451448493646
49.0,0.0,540.6667999520902,540.6667999520902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.6667999520902,540.6667999520902
50.0,0.0,552.7370126165989,552.7370126165989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.7370126165989,552.7370126165989
