t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_full_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_full_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_full_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_full_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_full_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_full_mg_L,total_baseline_mg_L,total_full_mg_L,total_delta_mg_L
23.0,0.0,1.1177224690505643,0.0,0.46371857646789183,0.0,0.1162654587998659,0.0,6.728315887881119,0.0,0.0,0.0,0.0,0.0,8.42602239219944,8.42602239219944
24.0,0.0,1.1396437199097438,0.0,0.46426757837085625,0.0,0.14555865605891571,0.0,6.845997192980538,0.0,0.0,0.0,0.0,0.0,8.595467147320054,8.595467147320054
25.0,0.0,1.1610009125462604,0.0,0.46426757837085625,0.0,0.17145165824373343,0.0,6.953775452280557,0.0,0.0,0.0,0.0,0.0,8.750495601441408,8.750495601441408
26.0,0.0,1.1818365027441988,0.0,0.46426757837085625,0.0,0.19364785577681712,0.0,7.052442140940954,0.0,0.0,0.0,0.0,0.0,8.892194077832826,8.892194077832826
27.0,0.0,1.202194085876541,0.0,0.46426757837085625,0.0,0.21244043623693948,0.0,7.14272541489982,0.0,0.0,0.0,0.0,0.0,9.021627515384157,9.021627515384157
28.0,0.0,1.2221137726236098,0.0,0.46426757837085625,0.0,0.2280991281745839,0.0,7.225295176409394,0.0,0.0,0.0,0.0,0.0,9.139775655578443,9.139775655578443
29.0,0.0,1.2416324677531023,0.0,0.46426757837085625,0.0,0.24087207782788844,0.0,7.30076773432903,0.0,0.0,0.0,0.0,0.0,9.247539858280877,9.247539858280877
30.0,0.0,1.2607785817376698,0.0,0.46426757837085625,0.0,0.2509875757012844,0.0,7.369710091594717,0.0,0.0,0.0,0.0,0.0,9.345743827404528,9.345743827404528
31.0,0.0,1.2795719669872434,0.0,0.46426757837085625,0.0,0.25865564501785127,0.0,7.432643889691035,0.0,0.0,0.0,0.0,0.0,9.435139080066985,9.435139080066985
32.0,0.0,1.2980643780234677,0.0,0.46426757837085625,0.0,0.26406950309546573,0.0,7.490049037565359,0.0,0.0,0.0,0.0,0.0,9.516450497055148,9.516450497055148
33.0,0.0,1.3163061468703952,0.0,0.46426757837085625,0.0,0.26740690581287535,0.0,7.54236705022892,0.0,0.0,0.0,0.0,0.0,9.590347681283047,9.590347681283047
34.0,0.0,1.3341851754306573,0.0,0.46426757837085625,0.0,0.268831384518406,0.0,7.590004120269769,0.0,0.0,0.0,0.0,0.0,9.657288258589688,9.657288258589688
35.0,0.0,1.3519038735689077,0.0,0.46426757837085625,0.0,0.268831384518406,0.0,7.6333339436447165,0.0,0.0,0.0,0.0,0.0,9.718336780102886,9.718336780102886
36.0,0.0,1.3694181517065502,0.0,0.46426757837085625,0.0,0.268831384518406,0.0,7.6727003194079035,0.0,0.0,0.0,0.0,0.0,9.775217434003716,9.775217434003716
37.0,0.0,1.386762075566782,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.6727003194079035,0.0,0.0,0.0,0.0,0.0,9.79294505887794,9.79294505887794
38.0,0.0,1.4040202927336756,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.6727003194079035,0.0,0.0,0.0,0.0,0.0,9.810203276044833,9.810203276044833
39.0,0.0,1.421025719146613,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.856483304205131,9.856483304205131
40.0,0.0,1.4378909492469218,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.87334853430544,9.87334853430544
41.0,0.0,1.4546374403969649,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.890095025455484,9.890095025455484
42.0,0.0,1.4712731362854854,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.906730721344005,9.906730721344005
43.0,0.0,1.4878089525281055,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.923266537586624,9.923266537586624
44.0,0.0,1.5042586711567623,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.93971625621528,9.93971625621528
45.0,0.0,1.5206236345844808,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.956081219643,9.956081219643
46.0,0.0,1.5369026103346988,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.972360195393218,9.972360195393218
47.0,0.0,1.5531083748815713,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,9.98856595994009,9.98856595994009
48.0,0.0,1.569255332111236,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.004712917169755,10.004712917169755
49.0,0.0,1.5853491336892391,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.020806718747757,10.020806718747757
50.0,0.0,1.6013952429071934,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.036852827965712,10.036852827965712
51.0,0.0,1.6174049065290377,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.052862491587556,10.052862491587556
52.0,0.0,1.6333783123544625,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.068835897412981,10.068835897412981
53.0,0.0,1.6493254469081793,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.084783031966698,10.084783031966698
54.0,0.0,1.7617418706326413,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.197199455691159,10.197199455691159
55.0,0.0,1.8732303666044499,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.308687951662968,10.308687951662968
56.0,0.0,1.983815470299392,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.41927305535791,10.41927305535791
57.0,0.0,2.0935206525277796,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.528978237586298,10.528978237586298
58.0,0.0,2.2023683826106013,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.63782596766912,10.63782596766912
59.0,0.0,2.3103801868012552,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.745837771859772,10.745837771859772
60.0,0.0,2.4175767023829797,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.8530342874415,10.8530342874415
61.0,0.0,2.5239777278268214,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,10.95943531288534,10.95943531288534
62.0,0.0,2.6296022693551353,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.065059854413654,11.065059854413654
63.0,0.0,2.7344685842204237,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.169926169278941,11.169926169278941
64.0,0.0,2.838594220978242,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.27405180603676,11.27405180603676
65.0,0.0,2.9419960570053485,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.377453642063866,11.377453642063866
66.0,0.0,3.0446903334898154,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.480147918548333,11.480147918548333
67.0,0.0,3.1466926880980917,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.58215027315661,11.58215027315661
68.0,0.0,3.2480181855046193,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.683475770563138,11.683475770563138
69.0,0.0,3.348681345952325,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.784138931010844,11.784138931010844
70.0,0.0,3.4486961719968523,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.88415375705537,11.88415375705537
71.0,0.0,3.54807617357355,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,11.983533758632069,11.983533758632069
72.0,0.0,3.646834391513835,0.0,0.46426757837085625,0.0,0.26921508553239737,0.0,7.701974921155265,0.0,0.0,0.0,0.0,0.0,12.082291976572353,12.082291976572353
