state_idx,fe,cp,value
3,7,2,-0.34246155722095756
3,8,0,-0.3443276753180185
3,8,1,-0.36191993659057947
3,8,2,-0.37958446426408604
3,9,0,-0.3859568145051408
3,9,1,-0.40716720836802095
3,9,2,-0.4177754986235504
3,10,0,-0.4199877397901162
3,10,1,-0.4264229702730307
3,10,2,-0.4291249330625939
3,11,0,-0.42923603045717446
3,11,1,-0.4309468463382226
3,11,2,-0.4319246361004652
3,12,0,-0.4317852649754626
3,12,1,-0.4326368920192529
3,12,2,-0.4332624186573764
3,13,0,-0.43316614200647585
3,13,1,-0.433827545861546
3,13,2,-0.434345535453896
3,14,0,-0.0
3,14,1,-0.436029723561615
3,14,2,-0.43739304275196156
3,15,0,-0.43200612204940353
3,15,1,-0.43023002243168734
3,15,2,-0.42899041337063715
3,16,0,-0.42846190054462435
3,16,1,-0.4268356428518426
3,16,2,-0.4257005245973899
3,17,0,-0.4252113329561584
3,17,1,-0.4237182524829317
3,17,2,-0.42267603674433296
4,0,0,0.19141244115770517
4,0,1,0.22425329338390673
4,0,2,0.2496416118535239
4,1,0,0.2769454962564216
4,1,1,0.32161927652424843
4,1,2,0.35275399002082775
4,2,0,0.38243912666429813
4,2,1,0.4318322559086992
4,2,2,0.4580859470954892
4,3,0,0.47031907468246026
4,3,1,0.4515095578788566
4,3,2,0.452761240987377
4,4,0,0.4641471342538978
4,4,1,0.44804092697577746
4,4,2,0.4645811764700971
4,5,0,0.4497758117606423
4,5,1,0.44778964696719586
4,5,2,0.45510375636275996
4,6,0,0.44551135498430916
4,6,1,0.4457151880232328
4,6,2,0.4489906073248346
4,7,0,0.4446516019454374
4,7,1,0.4465937570092182
4,7,2,0.4510949484668428
4,8,0,0.45077572450397146
4,8,1,0.46144282344473947
4,8,2,0.47275739844734216
4,9,0,0.47599489801833395
4,9,1,0.4886020178561444
4,9,2,0.4943720958019373
4,10,0,0.4947976415166968
4,10,1,0.4967717651746246
4,10,2,0.4968688145814374
4,11,0,0.4959566935014315
4,11,1,0.49457067852931863
4,11,2,0.4934004048585868
4,12,0,0.49238936476622336
4,12,1,0.49037336989920216
4,12,2,0.48892650541595434
4,13,0,0.48799489771639915
4,13,1,0.48583806537570884
4,13,2,0.5816506422705734
4,14,0,0.08547015433018074
4,14,1,0.5826573984637855
4,14,2,0.5837511978579717
4,15,0,0.5722173853112593
