rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_4498,6-O-alpha-D-glucopyranosyl-D-fructofuranose exchange,0.0,0.0,1000.0,LB,1.0363534587113908e-17,1.0363534587113908e-17
r_4505,methyl alpha-D-glucopyranoside exchange,0.0,0.0,1000.0,LB,1.0363534587113908e-17,1.0363534587113908e-17
r_4547,D-mannose 1-phosphate exchange,0.0,0.0,1000.0,LB,1.0363534587113908e-17,1.0363534587113908e-17
r_2068,thiamine(1+) monophosphate exchange,0.0,0.0,1000.0,LB,9.274506835812223e-18,9.274506835812223e-18
r_2067,thiamine(1+) exchange,-9.4399423943713e-08,-0.01,0.0,UB,4.637253417906112e-18,4.637253417906112e-18
r_4735,ethyl-benzoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4646,ethyl butanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4729,ethyl-(2R)-lactate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4645,ethyl octanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4739,benzyl-acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4644,ethyl hexanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4554,2-hydroxyethane-1-sulfonate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4727,ethyl-(2S)-lactate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4648,ethyl decanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4647,hexyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4659,propanol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4710,taurocholate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4668,methionol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4709,alkanesulfonate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4677,tyrosol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4689,tyrosyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4692,methionyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4539,D-mannose 6-phosphate exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_4708,hydrogen sulfide exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4537,2-phosphoglycolate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4699,ethyl propionate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4695,propyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1542,(1->3)-beta-D-glucan exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_2044,S-methyl-L-methionine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4507,glycerone exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_1711,D-galacturonate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1714,D-glucose exchange,-2.9277472771368447,-2.9277472771368447,0.0,LB,-0.0,0.0
r_1715,D-mannose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1716,D-ribose exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_1718,D-xylose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1727,decanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1753,episterol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1765,ethyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1788,fecosterol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1791,FMN exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_1792,folic acid exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1798,fumarate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1815,glyoxylate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1834,hexadecanal exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1843,indol-3-ylacetaldehyde exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_1865,isoamylol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1712,D-glucitol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1710,D-galactose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4504,D-glucose 1-phosphate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1709,D-fructose exchange,-1.5036973515964451,-1.5036973515964451,0.0,LB,-0.0,0.0
r_1546,(R)-lactate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1547,(R)-mevalonate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1548,(R)-pantothenate exchange,0.0,-0.01,0.0,UB,0.0,0.0
r_1549,"(R,R)-2,3-butanediol exchange",0.0,0.0,1000.0,LB,0.0,0.0
r_1553,1-(sn-glycero-3-phospho)-1D-myo-inositol exchange,2.9769178861715854e-19,0.0,1000.0,LB,0.0,0.0
r_1554,1-acylglycerophosphocholine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1564,2'-deoxyguanosine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1565,2'-deoxyinosine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1580,2-methylbutanol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1581,2-methylbutyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1589,2-phenylethanol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1627,"7,8-diaminononanoate exchange",0.0,0.0,1000.0,LB,0.0,0.0
r_1629,8-amino-7-oxononanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1671,biotin exchange,0.0,-0.01,0.0,UB,0.0,0.0
r_1706,D-arabinose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1866,isobutanol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1867,isobutyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1875,L-arabinitol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1878,L-arabinose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2104,xylitol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2106,zymosterol exchange,0.0,-1000.0,0.0,UB,0.0,0.0
r_2134,14-demethyllanosterol exchange,0.0,-1000.0,0.0,UB,0.0,0.0
r_2137,"ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange",-1.5999997820629422e-19,-1000.0,0.0,UB,0.0,0.0
r_2187,butyrate exchange,-1.2812261630629289e-33,0.0,1000.0,LB,0.0,0.0
r_2188,hexanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4043,raffinose exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_4044,melibiose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4442,cysteamine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4494,methanol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4497,3-oxalomalate(3-) exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4499,5-dehydro-D-gluconate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_4500,D-tagatose exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_4501,turanose exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_4502,D-glucose 6-phosphate exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_2062,taurine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2061,sulphite exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2058,sucrose exchange,0.0,0.0,1000.0,LB,-0.0,0.0
r_1984,octanoate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1886,L-glucitol exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1909,L-sorbose exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_1915,lanosterol exchange,0.0,-1000.0,0.0,UB,0.0,0.0
r_1947,myo-inositol exchange,0.0,-0.01,0.0,UB,0.0,0.0
