t_h,fase,mode,objective_id,objective_value_baseline,objective_value_constrained,mu_h_inv_baseline,mu_h_inv_constrained,v_ATPM_baseline,v_ATPM_constrained,ester_total_baseline,ester_total_constrained,higher_alcohol_total_baseline,higher_alcohol_total_constrained,proxy_score,phi_ester,constraint_active,constraint_binding,lhs_margin,delta_objective_vs_baseline,delta_mu_vs_baseline,delta_ester_total_vs_baseline,proxy_turnover,proxy_n_limited,proxy_low_growth,proxy_anaerobic,proxy_alcohol_present,N_gN_L,E_g_L,O2_g_L,X_gDW_L,ester_r_1765_baseline,ester_r_1765_constrained,ester_r_1765_delta,ester_r_1867_baseline,ester_r_1867_constrained,ester_r_1867_delta,ester_r_1862_baseline,ester_r_1862_constrained,ester_r_1862_delta,ester_r_2000_baseline,ester_r_2000_constrained,ester_r_2000_delta,ester_r_4647_baseline,ester_r_4647_constrained,ester_r_4647_delta,ester_r_4739_baseline,ester_r_4739_constrained,ester_r_4739_delta,alcohol_r_1761_baseline,alcohol_r_1761_constrained,alcohol_r_1761_delta,alcohol_r_1866_baseline,alcohol_r_1866_constrained,alcohol_r_1866_delta,alcohol_r_1862_baseline,alcohol_r_1862_constrained,alcohol_r_1862_delta,alcohol_r_1589_baseline,alcohol_r_1589_constrained,alcohol_r_1589_delta
10.0,,BIOMASS,r_2111,0.08611808047909258,0.08167501856901692,0.08611808047909258,0.08167501856901692,0.7,0.7,0.0,0.1302295416903331,7.367105003102175,7.234974538351837,0.15000000000000002,0.018000000000000002,True,True,2.7755575615628914e-17,-0.004443061910075666,-0.004443061910075666,0.1302295416903331,0.0,0.0,0.0,1.0,1.0,0.0658727953455326,2.88914029772681,0.0,1.296405028002708,0.0,0.1302295416903331,0.1302295416903331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.353558296639106,7.220744454846734,-0.13281384179237143,0.0,0.0,0.0,0.0,0.0,0.0,0.013546706463068832,0.014230083505102995,0.0006833770420341632
11.0,,BIOMASS,r_2111,0.07734809878928695,0.07734809878929011,0.07734809878928695,0.07734809878929011,0.7,0.7,0.0,0.11835185643025953,6.763309737391326,6.575103135014419,0.15000000000000002,0.018000000000000002,True,True,-2.7755575615628914e-17,3.164135620181696e-15,3.164135620181696e-15,0.11835185643025953,0.0,0.0,0.0,1.0,1.0,0.055997312578535866,3.3270761464131784,0.0,1.4079372966252106,0.0,0.11835185643025953,0.11835185643025953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7235865524621845,6.56430353431121,-0.15928301815097434,0.0,0.0,0.0,0.0,0.0,0.0,0.0397231849291416,0.010799600703208886,-0.028923584225932712
12.0,,BIOMASS,r_2111,0.06699428077904748,0.06699428077904927,0.06699428077904748,0.06699428077904927,0.7,0.7,0.0,0.09863421266078769,5.948083237201091,5.479678481154871,0.15000000000000002,0.018000000000000002,True,True,-1.3877787807814457e-17,1.790234627208065e-15,1.790234627208065e-15,0.09863421266078769,0.0,0.0,0.0,1.0,1.0,0.04638104984482068,3.75239997439767,0.0,1.5167296684605922,0.0,0.09863421266078769,0.09863421266078769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.913744753105518,5.4705998211500795,-0.44314493195543836,0.0,0.0,0.0,0.0,0.0,0.0,0.03433848409557294,0.009078660004791666,-0.025259824090781275
13.0,,BIOMASS,r_2111,0.05381262084992465,0.05381262084992433,0.05381262084992465,0.05381262084992433,0.7,0.7,0.0,0.07057726059358117,4.870136086454046,3.9209589218656205,0.15000000000000002,0.018000000000000002,True,True,0.0,-3.191891195797325e-16,-3.191891195797325e-16,0.07057726059358117,0.0,0.0,0.0,1.0,1.0,0.037436734508927275,4.155619625733597,0.0,1.6182402695220792,0.0,0.07057726059358117,0.07057726059358117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843271606131739,3.912522053047738,-0.9307495530840013,0.0,0.0,0.0,0.0,0.0,0.0,0.026864480322307076,0.008436868817882798,-0.018427611504424277
14.0,,BIOMASS,r_2111,0.03721603801778905,0.037216038017788895,0.03721603801778905,0.037216038017788895,0.7,0.7,0.0,0.0638683345204712,3.6697949162247645,3.5482408066928457,0.15000000000000002,0.018000000000000002,True,True,-2.7755575615628914e-17,-1.5265566588595902e-16,-1.5265566588595902e-16,0.0638683345204712,0.0,0.0,0.0,1.0,1.0,0.02982101824483631,4.511815623516122,0.0,1.7052349378398846,0.0,0.0638683345204712,0.0638683345204712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.649808973092203,3.5393728037671583,-0.11043616932504463,0.0,0.0,0.0,0.0,0.0,0.0,0.019985943132561464,0.008868002925687344,-0.01111794020687412
15.0,,BIOMASS,r_2111,0.02086152130804995,0.020861525270311758,0.02086152130804995,0.020861525270311758,0.7,0.7,0.0,0.1016831687253701,2.741799857315446,2.4210278267945258,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,3.96226180685022e-09,3.96226180685022e-09,0.1016831687253701,0.0,0.0,1.0,1.0,1.0,0.02435719712540861,4.7895578947044255,0.0,1.7686335640275206,0.0,0.1016831687253701,0.1016831687253701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7032711068489395,2.4112929683173983,-0.2919781385315412,0.0,0.0,0.0,0.0,0.0,0.0,0.038528750466506535,0.009734858477127531,-0.028793891989379004
16.0,,BIOMASS,r_2111,0.012739568879781511,0.012739578508659434,0.012739568879781511,0.012739578508659434,0.7,0.7,0.0,0.08871405218286937,1.859624548202081,2.1122393376873663,0.35000000000000003,0.042,True,True,-1.3877787807814457e-17,9.628877922426837e-09,9.628877922426837e-09,0.08871405218286937,0.0,0.0,1.0,1.0,1.0,0.021309640040282435,4.978624308468819,0.0,1.8054930544228265,0.0,0.08871405218286937,0.08871405218286937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8499190570955646,2.0132326155102174,0.16331355841465278,0.0,0.0,0.0,0.0,0.0,0.0,0.009705491106516403,0.0990067221771487,0.0893012310706323
17.0,,BIOMASS,r_2111,0.011175264144128425,0.011175264144086674,0.011175264144128425,0.011175264144086674,0.7,0.7,0.0,0.07337680075385608,1.7575171066733042,1.7470666846156204,0.35000000000000003,0.042,True,True,1.3877787807814457e-17,-4.175132461980979e-14,-4.175132461980979e-14,0.07337680075385608,0.0,0.0,1.0,1.0,1.0,0.019519274864233348,5.121366986397811,0.0,1.828471256348483,0.0,0.07337680075385608,0.07337680075385608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7456431993485602,1.7343960455267973,-0.01124715382176289,0.0,0.0037926052940154007,0.0037926052940154007,0.0,0.0,0.0,0.011873907324744033,0.008878033794807868,-0.0029958735299361657
18.0,,BIOMASS,r_2111,0.010309694639637173,0.010309694639637584,0.010309694639637173,0.010309694639637584,0.7,0.7,0.0,0.06642900323855774,1.7143509459556123,1.581642934251375,0.35000000000000003,0.042,True,True,-1.3877787807814457e-17,4.111294638065033e-16,4.111294638065033e-16,0.06642900323855774,0.0,0.0,1.0,1.0,1.0,0.017957732875094678,5.255617043909848,0.0,1.848884475826054,0.0,0.06642900323855774,0.06642900323855774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7011320352076253,1.5735871576746319,-0.12754487753299348,0.0,0.0,0.0,0.0,0.0,0.0,0.013218910747987084,0.008055776576743017,-0.005163134171244067
19.0,,BIOMASS,r_2111,0.009528964991198716,0.009528964991199226,0.009528964991198716,0.009528964991199226,0.7,0.7,0.0,0.06664929871482349,1.6795256320828016,1.5868880646386543,0.35000000000000003,0.042,True,True,0.0,5.100087019371813e-16,5.100087019371813e-16,0.06664929871482349,0.0,0.0,1.0,1.0,1.0,0.016521114245087103,5.385345030590177,0.0,1.867926848761418,0.0,0.06664929871482349,0.06664929871482349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6693391014076846,1.5795739507307687,-0.08976515067691593,0.0,0.0,0.0,0.0,0.0,0.0,0.01018653067511709,0.0073141139078855945,-0.0028724167672314954
