fase,t_h,mode,objective_id,objective_value_ref,GAM_mmol_gDW,X_gDW_L,N_gN_L,E_g_L,O2_g_L,rid,label,rxn_name,flux_ref,minimum,maximum,range
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_4647,hexyl acetate exchange,hexyl acetate exchange,0.0,0.0,0.0,0.0
exponencial,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_4739,benzyl-acetate exchange,benzyl-acetate exchange,0.0,0.0,0.0,0.0
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1727,decanoate exchange,decanoate exchange,0.0,0.0,0.004629000411856912,0.004629000411856912
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1765,ethyl acetate exchange,ethyl acetate exchange,0.0,0.0,-4.6907727182712313e-14,-4.6907727182712313e-14
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1862,isoamyl acetate exchange,isoamyl acetate exchange,0.0,0.0,-5.942328200891524e-14,-5.942328200891524e-14
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1867,isobutyl acetate exchange,isobutyl acetate exchange,0.0,0.0,1.650326153618486e-14,1.650326153618486e-14
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_1984,octanoate exchange,octanoate exchange,0.004629000411845496,0.0,0.004629000411803523,0.004629000411803523
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_2000,phenethyl acetate exchange,phenethyl acetate exchange,0.0,0.0,-9.406109608985029e-15,-9.406109608985029e-15
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_4644,ethyl hexanoate exchange,ethyl hexanoate exchange,-8.067461266904325e-17,0.0,-3.8606411898002255e-14,-3.8606411898002255e-14
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_4647,hexyl acetate exchange,hexyl acetate exchange,0.0,0.0,0.0,0.0
lag,0.0,BIOMASS,r_2111,0.15887686352796943,51.98026170194909,0.5,0.14,0.0,0.008,r_4739,benzyl-acetate exchange,benzyl-acetate exchange,0.0,0.0,0.0,0.0
