t_h,X_gDW_L,N_gN_L,N_free_gN_L,N_from_AA_gN_L,N_rec_gN_L,N_in_Prot_gN_L,N_total_system_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac_gProt_gDW,C_frac_gCarb_gDW,GAM_mmol_gDW,fe_idx,cp_idx,AA_phe_mmol_L,AA_phe_g_L,AA_leu_mmol_L,AA_leu_g_L,AA_val_mmol_L,AA_val_g_L,AA_met_mmol_L,AA_met_g_L,AA_tyr_mmol_L,AA_tyr_g_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L,ethyl_acetate_g_L,ethyl_acetate_mg_L
16.62020410288672,1.7295021589509951,0.026121961947749562,0.003754669041681046,0.022367292906068516,0.07424960823990588,0.23738716138439558,0.33775873157205105,101.37971115957639,105.75890167680834,5.883578787301378,0.0,1.4836697586524723,0.6068939055342251,0.8578594429465014,0.35090670595191853,59.6374617602939,4,0,0.27010769557735215,0.0446190902324228,0.26877686520709804,0.03525546140921505,0.2718871717024281,0.031851582164939454,0.492257401348132,0.07344972685515479,0.293836212496718,0.053240183342280326,0.06600670156869037,66.00670156869037,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.07759197059420112,77.59197059420111,0.0,0.0
18.57979589711328,1.7934620248938036,0.020834641040168793,0.001680449524273154,0.01915419151589564,0.08864641352625606,0.23553191323456044,0.3450129678009853,99.9768537637088,105.1261733665896,6.769965408577683,0.0,1.4720744577160028,0.624400809222882,0.8208004615002478,0.3481539059963395,58.924224862381166,4,1,0.23130624491451776,0.03820947859742919,0.23016659069287967,0.030190951701185027,0.23283009613070232,0.02727604576171178,0.4215437505171258,0.06289854301466034,0.25162611819423825,0.04559213635561402,0.06954522515387793,69.54522515387792,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.08238836654912146,82.38836654912146,0.0,0.0
20.0,1.8178074562649664,0.019056154256931856,0.0018696112701576898,0.017186542986774165,0.09957310937095,0.22847119418405445,0.3471004578119363,98.93627073458345,104.66578281510611,7.415214084149713,0.0,1.4279449636503403,0.6286954813176524,0.7855314701944983,0.3458537256797415,58.24543810220249,4,2,0.20754489783782382,0.03428434167383012,0.20652231663130372,0.02708953227252811,0.20891220871652472,0.02447406525114087,0.3782399159503141,0.05643717785894637,0.22577737584755359,0.04090860272981823,0.07199068161367302,71.99068161367302,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.08556553699049474,85.56553699049473,0.0,0.0
20.62020410288672,1.8358415012424008,0.017586745457239,0.0012317808843217031,0.016354964572917297,0.10382630388919108,0.22772188681950184,0.34913493616593194,98.49369442609596,104.46385676040849,7.69519414634292,0.0,1.4232617926218865,0.633408734472758,0.7752639820260616,0.3450236493968027,58.047830096671305,5,0,0.19750274700615983,0.032625478777947546,0.19652964383943006,0.025778793382418043,0.1988038999488154,0.023289876879003725,0.35993861186575404,0.053706440276489166,0.21485303857760013,0.03892922205987537,0.07287865913679019,72.87865913679019,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.08678291722765646,86.78291722765647,0.0,0.0
22.57979589711328,1.8749667027649686,0.014596924250011498,0.0005913794135886097,0.01400554483642289,0.11729396944801086,0.22114925740988395,0.3530401511079063,97.09269936544669,103.83075559057771,8.57233797644275,0.0,1.3821828588117746,0.6415662517936377,0.7371772825477394,0.34217474414214144,57.314813744695996,5,1,0.16913112628149535,0.02793877075044022,0.16829781111463357,0.02207562388390649,0.17024536629076953,0.01994424466096365,0.30823279037812235,0.04599141465231964,0.18398901762362696,0.033336970103224964,0.07560963073472071,75.60963073472071,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.09041375095260475,90.41375095260474,0.0,0.0
24.0,1.8948381656133682,0.013216582075566497,0.0006497818436372296,0.012566800231929267,0.12708244897197934,0.21437133835330688,0.3546703694008527,96.0650657610318,103.36638815839466,9.212613781350537,0.0,1.339820864708168,0.6442175494578494,0.7070898660490414,0.3399855254917314,56.73575153704029,5,2,0.15175682929901674,0.025068710631904575,0.15100911792080923,0.01980786599767255,0.15275660701352284,0.0178954365116342,0.27656902654286963,0.04126686445046158,0.16508841721973117,0.029912370316043088,0.07735885021412946,77.35885021412946,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.09270338849268449,92.70338849268448,0.0,0.0
24.62020410288672,1.9057568798928672,0.012405789783861147,0.00044703968814402244,0.011958750095717124,0.13105639258079674,0.2122856824653776,0.3557478648300355,95.62448101092752,103.1646772205602,9.489199139326946,0.0,1.32678551540861,0.6462552855401379,0.6961987278687907,0.3391068883752199,56.52614076774036,6,0,0.14441400861090403,0.023855750082435238,0.1437024755753912,0.018849453721224065,0.14536541164257377,0.01702955797392752,0.2631871129962393,0.03927014913016887,0.1571005418079412,0.028465047170180863,0.07805075250571968,78.05075250571967,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.09363024661345973,93.63024661345973,0.0,0.0
26.57979589711328,1.9332558574103187,0.010484334666398589,0.00024348028200617521,0.010240854384392414,0.14341951000370345,0.20428580662006304,0.3581896512901651,94.23158151867725,102.5259516640301,10.361602049528468,0.0,1.276786291375394,0.6500452527730242,0.6604331684714021,0.33624377770865177,55.83779706154046,6,1,0.12366867953702937,0.02042882917272188,0.12305935948702004,0.01614169618391242,0.12448341183181064,0.014583231696096616,0.225379816324483,0.033628922393776114,0.13453276968639602,0.024375992539478093,0.08006848475637095,80.06848475637095,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.09630307016332566,96.30307016332566,0.0,0.0
28.0,1.9492720801392718,0.009450888535195488,0.0002620442056088102,0.009188844329586677,0.15219651111788507,0.19778736161633462,0.3594347612694152,93.21774664912833,102.05785738621265,10.99662338183477,0.0,1.2361710101020913,0.651288391087543,0.6341705822892457,0.33411877065463824,55.33234751142551,6,2,0.11096459358344102,0.018330241214048623,0.11041786702369569,0.014483511617498165,0.11169563104828788,0.013085143177306925,0.20222727220814624,0.0301743312861775,0.1207126506710674,0.021871925175090703,0.08131958715397294,81.31958715397295,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.09795319511492707,97.95319511492707,0.0,0.0
28.62020410288672,1.9570448315699092,0.008929193985847472,0.00018495591585911077,0.00874423806998836,0.15585594104834152,0.19533374143166563,0.3601188764658546,92.77917818996924,101.85345436544254,11.272501668379302,0.0,1.22083588394791,0.6521426829240461,0.623816002706783,0.33322827990655074,55.13306334514865,7,0,0.10559552309629301,0.017443324460276643,0.10507525014072604,0.013782720560959034,0.10629118899304993,0.0124520127905358,0.19244241702285014,0.02871433304397947,0.11487191616996657,0.020813642490836243,0.08182947117790355,81.82947117790356,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.09863432953801571,98.6343295380157,0.0,0.0
30.57979589711328,1.978121472084509,0.007595669610215821,0.00010755688434808955,0.007488112725867731,0.16714708014155893,0.18708424904712254,0.3618269987988973,91.39351847506202,101.20299734632478,12.144931915570382,0.0,1.1692765565445158,0.6535276904071633,0.5911045267166293,0.33037793665850435,54.50349850685969,7,1,0.09042653847747585,0.014937559891094236,0.08998100365690903,0.011802808249676758,0.09102227073141993,0.010663259016185846,0.16479772169646195,0.02458946805432909,0.09837036119469275,0.01782372574486638,0.08328662153291548,83.28662153291548,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10057300614172425,100.57300614172425,0.0,0.0
32.0,1.9911542204885888,0.0068334983858471185,0.00011461541205334103,0.006718882973793777,0.1750729915461199,0.18088180243566107,0.3627882923676281,90.3852571994032,100.72228203686414,12.782074806951378,0.0,1.1305112652228817,0.6536771852429878,0.5677668025862292,0.32829058568983605,54.054340831351254,7,2,0.08113731082821206,0.01340307237571235,0.08073754436772627,0.010590343694714656,0.08167184542250808,0.009567856691246822,0.1478685814385965,0.022063471036452984,0.08826509017068446,0.015992751688026316,0.0841765922153303,84.1765922153303,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10175818270152316,101.75818270152317,0.0,0.0
32.62020410288672,1.9971182480238059,0.006476234139714546,8.24472629390592e-05,0.0063937868767754875,0.17841621495039683,0.17837457196289805,0.36326702105300945,89.94606132297754,100.50998791232857,13.060941572513553,0.0,1.1148410747681128,0.6538561923652825,0.5582248701954796,0.32739983874880124,53.870696867246586,8,0,0.07721144648800943,0.012754558845354277,0.07683102290289887,0.010077925274173245,0.0777201173917181,0.009104911752439776,0.140713895327108,0.02099592032175779,0.08399434510347953,0.015218935389299455,0.0845441469038092,84.54414690380919,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10225168611220876,102.25168611220876,0.0,0.0
34.57979589711328,2.0140028110162547,0.005525457469643664,5.014944448917929e-05,0.005475308025154485,0.18868659624532064,0.17033669436718968,0.364548748082154,88.54833846105204,99.81929348807975,13.953793230977842,0.0,1.0646043397949354,0.6536887110472144,0.5286012184152523,0.32457189606273024,53.300560272121345,8,1,0.06611988493473034,0.010922343792368104,0.06579410987393187,0.008630213392163645,0.06655548435881423,0.007796974992635087,0.12050009410445295,0.017979819041325427,0.07192840810555931,0.013032708264646291,0.08558193048775747,85.58193048775748,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10364539701359998,103.64539701359999,0.0,0.0
36.0,2.0248233929908217,0.00496594212581846,5.309489538045044e-05,0.0049128472304380095,0.19585224492679046,0.16450445885473372,0.36532264590734265,87.5211875822495,99.29323851340487,14.616814285885757,0.0,1.0281528678420857,0.6530354693992657,0.5077740959538323,0.3225147791455933,52.89972161878773,8,2,0.059327601677588646,0.009800326521120869,0.059035292441681445,0.007743659309575356,0.059718453372937894,0.006996016812639674,0.10812150674790173,0.01613281002185442,0.06453943393280447,0.01169390003428484,0.08620841759455758,86.20841759455757,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10449109945640396,104.49109945640396,0.0,0.0
36.62020410288672,2.02963079611086,0.004714427977876246,3.929101357801048e-05,0.004675136964298236,0.19889099270837848,0.16208226247838867,0.3656876831646434,87.06983455787473,99.05640119779282,14.910470798309037,0.0,1.013014140489929,0.6527893212341436,0.4991125195927494,0.3216295902116809,52.73302098067729,9,0,0.05645700967203249,0.009326133427723047,0.056178843946599645,0.007368978960475476,0.05682894983682426,0.006657511473383962,0.10289000026318135,0.01535221693926929,0.06141666513966423,0.01112808555665576,0.08646878342603426,86.46878342603426,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10484472132900552,104.84472132900552,0.0,0.0
38.57979589711328,2.043625328392012,0.004028976716524162,2.5431488531203637e-05,0.0040035452279929586,0.20820266799921416,0.1544877640466241,0.3667194087623624,85.628852794684,98.27805684496606,15.856458590307591,0.0,0.9655485252914006,0.6515719213614966,0.47246846663968695,0.3188313984511895,52.22022972375552,9,1,0.04834685986427481,0.007986417780979556,0.04810865313981898,0.006310412032350055,0.04866537016316496,0.005701148114614776,0.08810966880917598,0.013146843683017148,0.052594052006784964,0.009529516283109368,0.08719663359145129,87.19663359145129,0.0,0.0,0.010057378988892567,10.057378988892568,0.0,0.0,0.10583711699288369,105.8371169928837,0.0,0.0
