t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_pairwise_mg_L,ethyl_acetate_exchange_delta_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_pairwise_mg_L,isobutyl_acetate_exchange_delta_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_pairwise_mg_L,isoamyl_acetate_exchange_delta_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_pairwise_mg_L,phenethyl_acetate_exchange_delta_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_pairwise_mg_L,hexyl_acetate_exchange_delta_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_pairwise_mg_L,benzyl_acetate_exchange_delta_mg_L,total_acetate_esters_baseline_mg_L,total_acetate_esters_pairwise_mg_L,total_acetate_esters_delta_mg_L
40.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
41.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
42.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
43.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
44.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
45.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
46.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
47.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
48.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
49.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
50.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
51.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
52.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
53.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
54.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
55.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
56.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
57.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
58.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
59.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
60.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
61.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
62.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
63.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
64.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
65.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
66.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
67.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
68.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
69.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
70.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
71.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
72.0,0.0,0.0,0.0,0.0,1.2900484445930944,1.2900484445930944,0.0,0.4028294613799022,0.4028294613799022,0.0,8.148264871854964,8.148264871854964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.841142777827962,9.841142777827962
